,Match ID,Date,Venue,Bat First,Bat Second,Winner,Target Score,Chased,Defended
1353,1310180,2022-05-13,Marsa Sports Club,Romania,Czech Republic,Romania,194,No,Yes
1354,1310181,2022-05-13,Marsa Sports Club,Bulgaria,Romania,Romania,132,Yes,No
1355,1310182,2022-05-14,Marsa Sports Club,Hungary,Czech Republic,Czech Republic,170,Yes,No
1356,1310183,2022-05-14,Marsa Sports Club,Gibraltar,Romania,Romania,142,Yes,No
1357,1310184,2022-05-14,Marsa Sports Club,Bulgaria,Malta,Malta,205,Yes,No
1358,1310185,2022-05-15,Marsa Sports Club,Gibraltar,Bulgaria,Bulgaria,171,Yes,No
1359,1310186,2022-05-15,Marsa Sports Club,Czech Republic,Hungary,Czech Republic,222,No,Yes
1360,1310187,2022-05-15,Marsa Sports Club,Romania,Malta,Romania,172,No,Yes
1361,1310188,2022-05-20,College Field,Jersey,Guernsey,Jersey,179,No,Yes
1362,1310901,2022-08-04,Sportpark Westvliet,New Zealand,Netherlands,New Zealand,149,No,Yes
1363,1310902,2022-08-05,Sportpark Westvliet,Netherlands,New Zealand,New Zealand,148,Yes,No
1364,1310938,2022-05-17,Queens Sports Club,Zimbabwe,Namibia,Zimbabwe,154,No,Yes
1365,1310939,2022-05-19,Queens Sports Club,Zimbabwe,Namibia,Namibia,123,Yes,No
1366,1310940,2022-05-21,Queens Sports Club,Namibia,Zimbabwe,Zimbabwe,129,Yes,No
1367,1310941,2022-05-22,Queens Sports Club,Zimbabwe,Namibia,Namibia,158,Yes,No
1368,1310942,2022-05-24,Queens Sports Club,Namibia,Zimbabwe,Namibia,128,No,Yes
1369,1310946,2022-06-11,Harare Sports Club,Zimbabwe,Afghanistan,Afghanistan,160,Yes,No
1370,1310947,2022-06-12,Harare Sports Club,Afghanistan,Zimbabwe,Afghanistan,171,No,Yes
1371,1310948,2022-06-14,Harare Sports Club,Afghanistan,Zimbabwe,Afghanistan,126,No,Yes
1372,1317136,2022-06-24,National Sports Academy,Serbia,Bulgaria,Bulgaria,226,Yes,No
1373,1317137,2022-06-25,National Sports Academy,Serbia,Bulgaria,Bulgaria,195,Yes,No
1374,1317138,2022-06-25,National Sports Academy,Serbia,Bulgaria,Bulgaria,83,Yes,No
1375,1317139,2022-06-26,National Sports Academy,Serbia,Bulgaria,Bulgaria,243,Yes,No
1376,1317150,2022-07-03,Windsor Park,West Indies,Bangladesh,West Indies,194,No,Yes
1377,1317151,2022-07-07,Providence Stadium,Bangladesh,West Indies,West Indies,164,Yes,No
1378,1317482,2022-10-05,Carrara Oval,West Indies,Australia,Australia,146,Yes,No
1379,1317483,2022-10-07,Brisbane Cricket Ground,Australia,West Indies,Australia,179,No,Yes
1380,1317486,2022-10-09,Perth Stadium,England,Australia,England,209,No,Yes
1381,1317487,2022-10-12,Manuka Oval,England,Australia,England,179,No,Yes
1382,1317903,2022-07-29,Brian Lara Stadium,India,West Indies,India,191,No,Yes
1383,1317904,2022-08-01,Warner Park,India,West Indies,West Indies,139,Yes,No
1384,1317905,2022-08-02,Warner Park,West Indies,India,India,165,Yes,No
1385,1317906,2022-08-06,Central Broward Regional Park Stadium Turf Ground,India,West Indies,India,192,No,Yes
1386,1317907,2022-08-07,Central Broward Regional Park Stadium Turf Ground,India,West Indies,India,189,No,Yes
1387,1317908,2022-08-10,Sabina Park,New Zealand,West Indies,New Zealand,186,No,Yes
1388,1317909,2022-08-12,Sabina Park,New Zealand,West Indies,New Zealand,216,No,Yes
1389,1317910,2022-08-14,Sabina Park,New Zealand,West Indies,West Indies,146,Yes,No
1390,1318357,2022-06-09,Bayer Uerdingen Cricket Ground,Germany,Austria,Germany,136,No,Yes
1391,1318358,2022-06-09,Bayer Uerdingen Cricket Ground,Sweden,Germany,Germany,94,Yes,No
1392,1318359,2022-06-10,Bayer Uerdingen Cricket Ground,Austria,Germany,Austria,142,No,Yes
1393,1318360,2022-06-10,Bayer Uerdingen Cricket Ground,Austria,Sweden,Austria,125,No,Yes
1394,1318361,2022-06-11,Bayer Uerdingen Cricket Ground,Austria,Sweden,Austria,134,No,Yes
1395,1318362,2022-06-11,Bayer Uerdingen Cricket Ground,Germany,Sweden,Germany,152,No,Yes
